FID,the_geom,KunstwerkN,Kunstenaar,LokatieBee,Lengtegraa,Breedtegra,Eigendom_v,Foto,Websitever,KunstwerkI,Contact,_timestamp
Kunstwerken.69,POINT (187476.59825523 428399.24513416),Vier jaargetijden,Mathurin Moreau,Nassausingel,"5,858481","51,843229",gemeente Nijmegen,32.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=32,32,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.70,POINT (187476.59825523 428399.24513416),Vier jaargetijden,Matthijs van Roggen,Nassausingel,"5,858481","51,843229",gemeente Nijmegen,32.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=32,32,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.71,POINT (187592.06029906 428341.18715823),Mgr. Ferdinand Hamer,Bart van Hove,Bisschop Hamerstraat,"5,86009881","51,8427094",gemeente Nijmegen,37.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=37,37,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.72,POINT (188432.56084274 428716.31250258),Petrus Canisius,Toon Dupuis,Hunnerpark,"5,87235564","51,8460594",gemeente Nijmegen,66.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=66,66,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.73,POINT (188198.31178109 428965.51690664),Twee leeuwen,Jac Maris,Veerpoorttrappen,"5,868978","51,848397",gemeente Nijmegen,76.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=76,76,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.74,POINT (187730.25514624 427476.43231764),Clown,Ad Berntsen,Balistraat/Javastraat,5.861927,51.834894,gemeente Nijmegen,126.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=126,126,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.75,POINT (188111.53340162 428625.04929367),Twee spaarvarkens,Charles Hammes,Mariënburgsestraat,"5,86768048","51,8452700",particulier,119.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=119,119,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.76,POINT (187990.07395964 427421.30588776),Meisje met schooltas,Ed van Teeseling,Archipelstraat/Atjehstraat/Delistraat,"5,86580803","51,8344429",gemeente Nijmegen,133.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=133,133,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.77,POINT (188180.64260845 428992.46155222),Dubbelkoppige adelaar,Han Rädecker,In depot,"5,86875431","51,8485194",gemeente Nijmegen,147.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=147,147,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.78,POINT (187722.33147988 428931.56075748),Monument voor de burgerslachtoffers van de Tweede Wereldoorlog,Mari Andriessen,Sint Stevenskerkhof,"5,86205887","51,8480095",gemeente Nijmegen,149.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=149,149,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.79,POINT (187540.00955211 428280.94407373),Karel de Grote,Albert Termote,Keizer Karelplein,5.859390,51.842162,gemeente Nijmegen,188.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=188,188,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.80,POINT (186144.28824937 425318.95604718),Mens in zijn wereld,Ed van Teeseling,Hatertseweg 400,"5,838903","51,815676",particulier,209.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=209,209,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.81,POINT (186684.29599052 424974.01462945),Pratende vrouwtjes,Gerard Bruning,Sint Jacobslaan,"5,84647767","51,8124970",gemeente Nijmegen,210.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=210,210,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.82,POINT (190088.85418372 427163.31610242),Pegasus,Ed van Teeseling,Berg en Dalseweg/Hengstdalseweg,"5,89624493","51,8319942",gemeente Nijmegen,213.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=213,213,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.83,POINT (187438.22480974 428478.28506259),Quack Monument (Marie Adolf fontein),Willem Bijlard,Nassausingel,"5,85791937","51,8439748",gemeente Nijmegen,561.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=561,561,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.84,POINT (185981.01688871 424443.01185379),Nachtbruid,Marius van Beek,Grootstalselaan hoek Malderburchtstraat,5.836424,51.807755,gemeente Nijmegen,254.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=254,254,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.85,POINT (183641.7269449 425407.58961078),Monument voor Steve Biko,Arnaud Beerends,Steve Bikoplein,"5,80241350","51,8165778",gemeente Nijmegen,507.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=507,507,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.86,POINT (188199.01415186 429065.9694339),Sculptuur,Ari Berkulin,Waalkade (ter hoogte van het Holland Casino),5.869028,51.849179,gemeente Nijmegen,513.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=513,513,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.87,POINT (186654.64193565 425859.6591606),Icarus,Gerard Bruning,Hatertseweg/Slotemaker de Bruïneweg,5.846312,51.820471,gemeente Nijmegen,227.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=227,227,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.88,POINT (187961.33712894 425828.49189606),Erasmus,Huub Kortekaas,Erasmuslaan (bij de universiteitsbibliotheek van de Radboud Universiteit),"5,865575","51,820095",particulier,569.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=569,569,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.89,POINT (188572.46289785 425940.67290255),Hommage aan Bernini,Gerard Bruning,d'Almarasweg (Botanische Tuin),"5,87431887","51,8209069",gemeente Nijmegen,437.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=437,437,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.90,POINT (186396.7837842 427695.85745179),Zonder Titel,Erik Buijs,Floraweg (Florapark),"5,84272565","51,8370217",gemeente Nijmegen,519.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=519,519,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.91,POINT (188723.33390877 427774.58164971),Sculptuur,Jan Samsom,Daalseweg (rotonde bij het Badhuis),"5,87647916","51,8375610",gemeente Nijmegen,451.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=451,451,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.92,POINT (187326.60962099 427864.39099702),Sculptuur en Mozaïekrand,Abderrahim Chawky,De Ruyterstraat (Thiemepark),"5,85625445","51,8384304",gemeente Nijmegen,518.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=518,518,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.93,POINT (187609.84486378 426977.00661307),Objecten,Boudewijn Corstiaensen,Groenewoudseweg 322,5.8602802,51.830438,gemeente Nijmegen,411.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=411,411,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.94,POINT (187152.96679581 428325.95186018),Zonder titel,Tony Cragg,Stationsplein,5.853778,51.842589,gemeente Nijmegen,531.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=531,531,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.95,POINT (188717.09285499 428636.67366281),Geveldecoratie,Piet Schoenmakers,Batavierenweg 2 t/m 68,"5,87635642","51,8452301",particulier,166.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=166,166,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.96,POINT (188754.56019675 428571.66430082),Geveldecoratie,Piet Schoenmakers,Batavierenweg 70 t/m 136,"5,87698224","51,8446855",particulier,167.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=167,167,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.97,POINT (187773.44876359 428977.91763429),Omgevingsvormgeving,Christiaan Paul Damsté,Smidstraat (binnenplaats bij Petrus Canisiusschool),"5,86281372","51,8484202",gemeente Nijmegen,380.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=380,380,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.98,POINT (187809.29412178 431498.52170386),Vita (negen bronzen elementen),Louise Schouwenberg,Georges Brassensstraat 61,5.863703,51.871081,gemeente Nijmegen,510.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=510,510,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.99,POINT (187889.99996588 427110.01120646),Sculptuur,Christiaan Paul Damsté,Hobbemastraat/Ruysdaelstraat,5.864357,51.831617,gemeente Nijmegen,419.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=419,419,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.100,POINT (187638.38786994 426687.13679825),Intensieve zorg,Theo Schreurs,Albert Schweitzerlaan/Rode Kruislaan,5.860799,51.827829,gemeente Nijmegen,556.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=556,556,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.101,POINT (189508.94930723 427854.95430741),Monument ter herinnering aan de boom van Lücker,Diane Dyckhoff,Broerweg/Ubbergseveldweg,"5,887891","51,838255",gemeente Nijmegen,535.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=535,535,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.102,POINT (187711.88428278 427385.27937295),Belly,Ruud Dijkers,Archipelstraat/Javastraat,"5,86177805","51,8341253",gemeente Nijmegen,536.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=536,536,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.103,POINT (188117.83816552 426871.26091243),Omgevingsvormgeving,Piet Slegers,Groenewoudseweg 275,"5,86763938","51,8294576",gemeente Nijmegen,346.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=346,346,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.104,POINT (186452.12033858 432191.5004067),De Ark,Studio Job (Job Smeets/Nynke Tynagel),"Pijlpuntstraat (voorterrein voorzieningenhart De Klif, Oosterhout-Nijmegen)","5,84395040","51,8774144",gemeente Nijmegen,568.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=568,568,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.105,POINT (187533.69221011 428369.62041687),Kunstvitrine,Wilma Sommers,Keizer Karelplein (voorplein ABN/AMRO),"5,85930669","51,8429594",gemeente Nijmegen,511.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=511,511,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.106,POINT (183663.48366609 425459.50182154),Sculptuur,Arthur Spronken,Steve Bikoplein,"5,80293243","51,8170001",gemeente Nijmegen,329.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=329,329,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.107,POINT (187608.49193513 429170.66030655),Labyrinth,Jaap van Hunen,Waalkade,"5,86043511","51,8501871",gemeente Nijmegen,356.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=356,356,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.108,POINT (187608.4919357 429170.66030684),Labyrinth,Klaus van de Locht,Waalkade,"5,86043511","51,8501871",gemeente Nijmegen,356.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=356,356,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.109,POINT (188715.50557107 428556.88445482),Sculptuur,Leo Hutjens,Barbarossastraat/Reinaldistraat,"5,87654129","51,8446202",gemeente Nijmegen,415.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=415,415,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.110,POINT (180524.54960022 426258.00217915),Blokken,Peter Struycken,Wijchenseweg (rotonde Bijsterhuizen),"5,75744155","51,8243449",gemeente Nijmegen,502.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=502,502,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.111,POINT (187968.2384058 427661.63351852),Marieke,Paul de Swaaf,Sumatraplein,5.865541,51.836565,gemeente Nijmegen,342.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=342,342,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.112,POINT (187688.02030361 429157.10755926),Wachteres,Paul de Swaaf,Waalkade (ter hoogte van de Oude Haven),5.861684,51.850069,gemeente Nijmegen,377.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=377,377,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.113,POINT (185395.89841531 427836.43825122),Duikstertje,Paul de Swaaf,Planetenstraat (Sportfondsenbad West),"5,82823861","51,8382878",particulier,392.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=392,392,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.114,POINT (187749.33741347 429012.01215962),Joods monument,Paul de Swaaf,Kitty de Wijzeplaats,5.862491,51.848690,gemeente Nijmegen,534.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=534,534,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.115,POINT (187952.82468318 428780.0982023),Het zesde zintuig,Jerome Symons,Burchtstraat (patiotuin stadhuis),"5,86541223","51,8466369",gemeente Nijmegen,406.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=406,406,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.116,POINT (185440.78703628 427476.60877746),Sculptuur,Wim Korvinus,Daniëlsplein,"5,82873783","51,8352064",gemeente Nijmegen,400.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=400,400,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.117,POINT (187811.8460996 428899.67122695),Afsluitpaal,Jerome Symons,Grote Markt/Sint Stevenskerkhof,"5,86338716","51,8477204",gemeente Nijmegen,407.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=407,407,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.118,POINT (186072.44434881 425490.88644649),Mijn liefde neemt de vormen van het vliegen aan,Jerome Symons,Niek Engelschmannlaan,"5,837828","51,817184",gemeente Nijmegen,501.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=501,501,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.119,POINT (184646.1968645 425596.36322808),Entr'acte,Edith Imkamp-van der Does de Willebois,Depot,5.817281,51.818154,gemeente Nijmegen,305.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=305,305,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.120,POINT (181928.58558639 427048.23548598),Sculptuur ter ere van Joris Ivens,Nur Tarim,Leuvensbroek 60-11,"5,77853816","51,8314766",particulier,537.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=537,537,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.121,POINT (188526.8909833 428598.25676686),Keizer Traianus,Ed van Teeseling,Keizer Traianusplein,"5,8737163","51,8450009",gemeente Nijmegen,127.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=127,127,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.122,POINT (188526.89119487 428598.25697839),Keizer Traianus,Charles Hammes,Keizer Traianusplein,"5,8737163","51,8450009",gemeente Nijmegen,127.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=127,127,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.123,POINT (187384.33644933 425602.98082944),Alma Mater,Nic Jonk,Comeniuslaan (entree aula Radboud Universiteit),"5,856420","51,818239",particulier,541.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=541,541,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.124,POINT (188319.92480251 428798.08349046),Noviomagus (De Godenpijler),Ram Katzir,Kelfkensbos,"5,87082310","51,8467832",gemeente Nijmegen,558.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=558,558,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.125,POINT (188701.47235577 428545.04226381),Siamese Stoel,Thijs van Kimmenade,Barbarossastraat/Reinaldistraat,5.876262,51.844457,gemeente Nijmegen,367.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=367,367,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.126,POINT (182902.35426701 427422.54186901),Plastiek van de juiste en niet-juiste verhoudingen,Klaus van de Locht,Broekstraat,"5,79186124","51,8347382",gemeente Nijmegen,372.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=372,372,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.127,POINT (182902.35098565 427422.54186925),Plastiek van de juiste en niet-juiste verhoudingen,Geertjan van Oostende,Broekstraat,"5,79186124","51,8347382",gemeente Nijmegen,372.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=372,372,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.128,POINT (188696.44870637 428657.92117082),Sculptuur,Yvonne Kracht,Batavierenweg,"5,87618564","51,8455133",gemeente Nijmegen,324.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=324,324,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.129,POINT (184689.29544019 427082.73524634),Reeks vormen uit een cirkel,Yvonne Kracht,Aubadestraat/O.C. Huismanstraat,"5,81792147","51,8315515",gemeente Nijmegen,332.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=332,332,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.130,POINT (187250.77202658 426220.21295293),Kastanjedroom,Carel Lanters,Kastanjehof,"5,854981","51,823679",gemeente Nijmegen,548.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=548,548,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.131,POINT (188098.92885481 428779.52338552),Loden Lady,LaSalle (Albert Goederond/Patty Struik),Burchtstraat,"5,867922","51,846529",gemeente Nijmegen,574.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=574,574,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.132,POINT (188117.64411257 428099.10303922),Sculptuur,Cor Litjens,Prins Hendrikstraat,"5,86781193","51,8404432",gemeente Nijmegen,516.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=516,516,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.133,POINT (187717.49931227 428973.49903638),Afsluitpaal 'Habakuk',Klaus van de Locht,Noorderkerktrappen,5.862024,51.848372,gemeente Nijmegen,409.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=409,409,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.134,POINT (187893.85142318 428955.63265765),Afsluitpaal,Peter van de Locht,Kannenmarkt/Korenmarkt,"5,864626","51,848200",gemeente Nijmegen,306.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=306,306,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.135,POINT (188799.32141363 428521.59032253),"Kern, beweging en relaties",Peter van de Locht,Barbarossastraat 35,"5,87770979","51,8443414",particulier,313.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=313,313,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
