naam,bouwjaar,kunstenaar,locatie,latitude,longitude,omschrijving,eigendom,bron,url
"Zeven medaillons met deugden","1948","Martinus van Dijk","Burchtstraat (voorgevel stadhuis)",51.8470588,5.86582684,"Na het bombardement van 1944 stonden alleen nog de geblakerde buitenmuren van het stadhuis overeind. Het meeste natuursteenwerk moest vernieuwd worden en alle koppen en beelden opnieuw gehakt. Door hergebruik van puin en kopieën van de oorspronkelijke gevelbeelden wilde architect Deur iets van de vooroorlogse sfeer laten herleven. Hij liet deuromlijsting, hoofden boven de vensters en medaillons kopiëren naar die van Cuypers, zodat ze min of meer als restauratie van de oorspronkelijke 16e-eeuwse kunnen gelden.

In de klassieke oudheid werden deugden (deugdelijke eigenschappen) voorgesteld door vrouwenfiguren. De kerk nam deze gewoonte later over en voegde er nieuwe deugden aan toe. 
Inmiddels zijn er zeven deugden, die worden afgezet tegen zeven ondeugden. De deugden zijn Prudentia (voorzichtigheid), Iustitia (rechtvaardigheid),Temperantia (matigheid), Fortitudo (kracht), Caritas (liefde), Spes (hoop) en Fides (geloof). Zij staan tegenover hoogmoed, afgunst, toorn, luiheid, gierigheid, gulzigheid en wellust.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=88"
"Achttien hoofden","1948","Martinus van Dijk","Burchtstraat (stadhuis)",51.8470413,5.86588919,"Na het bombardement van 1944 stonden alleen nog de geblakerde buitenmuren van het stadhuis overeind.Het meeste natuursteenwerk moest vernieuwd worden en alle koppen en beelden opnieuw gehakt. Door hergebruik van puin en kopieën van de oorspronkelijke gevelbeelden wilde architect Deur iets van de vooroorlogse sfeer laten herleven.Hij liet deuromlijsting, hoofden boven de vensters en medaillons kopiëren naar die van Cuypers, zodat ze min of meer als restauratie van de oorspronkelijke 16e-eeuwse kunnen gelden.
De gevel van het stadhuis heeft een beeldengalerij, die bestaat uit portretten van acht vorsten en helden uit de Nijmeegse geschiedenis. Bovenaan de gevel bevinden zich zeven medaillons met personificaties van de zeven deugden. Verder zijn verspreid over deze beeldenwand boven de raampartijen achttien gebeeldhouwde hoofden aangebracht.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=89"
"Kruisbeeld","1949","Charles Grips","Heyendaalseweg/Houtlaan",51.8165258,5.86678496,"Dit kruisbeeld van de kunstenaar Charles Grips staat op de hoek van de Heyendaalseweg/Houtlaan.
De kunstenaar heeft een serie kruisbeelden gemaakt.
Een deel van deze collectie is te zien in het Vughts Historisch Museum op de afdeling devotionalia.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=90"
"Mariabeeld","1949","Albert Meertens","Berg en Dalseweg 40 (Maria Geboortekerk)",51.8426349,5.87338065,"Geen omschrijving.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=91"
"De Barmhartige Samaritaan","1949","Pieter d'Hont","Van Schaeck Mathonsingel 12",51.8428679,5.85597353,"De bijbelse vertelling van de Barmhartige Samaritaan staat symbool voor naastenliefde en offerzin. In het Nieuwe Testament verhaalt Lukas over de Barmharige Samaritaan die eens een beroofde en gewonde reiziger, die onderweg was van Jeruzalem naar Jericho, verzorgde en naar een herberg bracht.
Het is dit thema, dat door de kunstenaar Pieter d'Hont is uitgebeeld. 

Onder het reliëf is in de steen deze tekst uitgehakt:
‘DOE GIJ DESGELIJKS’. 

Op de bronzen plaquette is de volgende tekst te lezen:
‘TER HERINNERING AAN DE HULP VAN DE NED. HERV. GEMEENTEN HAARLEM, BLOEMENDAAL, HEEMSTEDE, HAARLEM-NOORD EN BENNEBROEK, IN DE OPRICHTING VAN DIT GEBOUW. 7 JULI 1949 NED. HERV.GEMEENTE","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=92"
"Plaquette","1949","Bernard Fokkinga","Molenstraat 122",51.8439737,5.86158701,"Op het adres Molenstraat 122 bevindt zich het geboortehuis van bisschop Ferdinand Hamer. 
Op deze plaquette staat de volgende tekst: 'Ferdinand Hamer, bisschop martelaar, werd hier geboren'.

Het monument voor deze Nijmeegse missionaris staat in de Bisschop Hamerstraat, het verlengde van de Molenstraat, richting Keizer Karelplein.

Dit monument is opgericht om bisschop Ferdinand Hamer (1840-1900) te herdenken, die als martelaar stierf in 1900 in het huidige Mongolië. 

De steen werd ontworpen door Ir. Bernard Fokkinga. Hij was mede-ontwerper van het stedenbouwkundig plan voor de herbouw van de Nijmeegse binnenstad, verwoest tijdens de Tweede Wereldoorlog. De uit Polen afkomstige Wladyslaw Miller vervaardigde deze plaquette.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=93"
"Acht keizerbeelden en medaillons","1950","Albert Termote","Burchtstraat (gevel stadhuis)",51.8470240,5.86595084,"De gevel van het stadhuis telt in zijn beeldengalerij acht vorsten en helden uit de Nijmeegse geschiedenis. Van links naar rechts (vanaf het Mariabeeld) zijn dat: Frederik van Barbarossa, Keizer Traianus, Karel  IV, Karel de Grote, Karel V, Willem II en, boven de toegangsdeur die nog uit 1553 stamt, Claudius Civilis en Julius Ceasar. Het zijn zandstenen beelden en ornamenten. Ze werden in 1553 ontworpen door Meester Cornelis Sass uit Utrecht. Ze werden echter vernield in de Tweede Wereldoorlog. In 1953 zijn ze door Albert Termote nagemaakt naar het oorspronkelijke model. In 2007 zijn ze voor het laatst geheel gerestaureerd en geïmpregneerd.

Bovenaan de gevel bevinden zich zeven medaillons met personificaties van de zeven deugden.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=97"
"Tronende madonna","1950","Joop Goldenbeld","Doddendaal 20",51.846512,5.860571,"Geen omschrijving.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=98"
"Saint Louis","1951","Ed van Teeseling","Bijleveldsingel 153 (tuin Stichting KION)",51.8410134,5.86452614,"Deze kalkstenen plaquette draagt de inscriptie  'St. Louis, Ridder van Christus'. De figuur wordt afgebeeld als een ridder in zestiende eeuwse kleding. Hij draagt een ballonbroekje met strakke kousen. Een vrij lange tuniek met hier over heen een korte cape met gespleten mouwen. Hij draagt een grote, geplooide, gesteven kraag: een zogenaamde 'molensteenkraag'. Achter hem staat zijn paard. Hij heeft een aureool om zijn hoofd en een kruis om zijn hals om aan te duiden dat het hier om een heilige gaat. (Op 20 juli 1947 werd Louis door Pius XII heilig verklaard.)

De heilige Louis was de stichter van de congregatie van de 'Dochters der Wijsheid' . In 1715  stichtte hij de congregatie 'Gezelschap van Maria', later bekend onder naam Montfortanen. Deze congregaties waren voornamelijk werkzaam in het onderwijs en de ziekenverpleging. Daarbij namen zij vooral de zorg op zich voor de armen en de kanslozen.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=104"
"Monument voor de gesneuvelde Nederlandse militairen uit de Tweede Wereldoorlog","1951","Jac Maris","In depot",51.818154,5.817281,"Dit werk stond oorspronkelijk op Plein 1944. Vanwege het kwetsbare kalksteen is het (tijdelijk) opgeslagen in depot. Na de herinrichting van Plein 1944 staat hier een bronzen afgietsel van het oorlogsmomument.

Dit oorlogsmonument is gemaakt door Jac Maris in opdracht van de Nederlandse Bond van Oud-strijders en Dragers van het Mobilisatiekruis. Het 495 cm hoge beeld van kalksteen toont een knielende soldaat bij een gewonde kameraad. Tijdens de Tweede Wereldoorlog sneuvelden ongeveer 2.300 soldaten van de Koninklijke Landmacht en naar schatting 2.900 Nederlandse mariniers. Het beeld van Jac Maris gedenkt de gesneuvelde Nederlandse militairen uit het Rijk van Nijmegen.
Het oorlogsmonument is op 5 mei onthuld op Plein 1944, dat tot 1950 de naam Koning Hendrikplein droeg. De nieuwe naam van het plein herinnert aan het jaar van het bombardement én aan de bevrijding van Nijmegen.","gemeente Nijmegen","www.marishuis.nl","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=105"
"Sint Stephanus","1951","Albert Termote","Berg en Dalseweg 205 (bij de Sint Stephanuskerk)",51.8376942,5.88415640,"Een twee en een half meter hoog bronzen beeld van de patroonheilige van Nijmegen, Sint Stephanus, staat sinds 1951 voor de St.Stephanuskerk aan de Berg en Dalseweg. Hij heeft hier een toga om het lichaam geworpen en staat erbij als een visionair, de blik ten hemel geheven, de armen en vingers gespreid.
Stephanus wordt beschouwd als de eerste martelaar van het Christendom. In Jeruzalem zou hij  geestelijke gezagsdragers hebben beschuldigd van de moord op de Messias. Als straf hiervoor werd hij gestenigd. Als attribuut heeft Stephanus dan ook vaak stenen op zijn hoofd, in zijn handen of op zijn schouders.

Op de gedenksteen achter, aan de voet van het beeld, staat: 'De parochianen aan hun herder Gijsbertus Wilhelminus van der Heyden 21 mei 1950'.  Van der Heyden was de pastoor van de Stefanusparochie en toen hij zijn 40-jarig priesterjubileum vierde, gaven de parochianen hem dit bijzondere cadeau.

Sint Steven is de patroonheilige van de stad Nijmegen.
De St.Stephanuskerk is in 1923 door bouwmeester Pierre Cuypers gebouwd. Deze kerk is de katholieke tegenhanger van de bij de reformatie aan de protestanten toegewezen Grote of Sint Stevenskerk in het centrum van de stad. De  Stevenskerk had in de middeleeuwen meerdere relieken van haar patroonheilige, zoals een deel van een arm, textiele windsels en een deel van de schedel.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=106"
"Zonnewijzer met zonnewagen","1953","Charles Hammes","Groenestraat 310/336",51.8325252,5.84410544,"Deze zonnewijzer is door de personeelsvereniging van Smit geschonken aan de directie van Willem Smit & Co's Transformatoren fabriek voor het 40 jarig jubileum van Smit.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=108"
"Mariabeeld","1953","Albert Termote","Burchtstraat 20 (gevel stadhuis)",51.8470070,5.86601127,"Dit beeld, Madonna met Kind, is geplaatst in 1953 na de restauratie van het stadhuis. De gevel van het stadhuis heeft, naast het Mariabeeld, een beeldengalerij met acht vorsten en helden uit de Nijmeegse geschiedenis. Bovenaan de gevel bevinden zich zeven medaillons met personificaties van de zeven deugden.  Ze werden zwaar beschadigd in de Tweede Wereldoorlog, net zoals het Mariabeeld. In 1953 zijn de beelden door Albert Termote nagemaakt naar het oorspronkelijke model.
In 2007 zijn ze voor het laatst geheel gerestaureerd en geïmpregneerd.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=109"
"Drie staande figuren","1953","Jo Uiterwaal","Stationsplein",51.8429717,5.85311697,"Na de Tweede Wereldoorlog vervaardigt de beeldhouwer Jo Uiterwaal  een reeks beelden en reliëfs voor de nieuwbouw van het station. Dit beeld maakt daarvan deel uit.
De drie vrouwen van deze beeldengroep bij de ingang van het station symboliseren de snelheid, de veiligheid en het dienstbetoon van het spoorwegverkeer.","particulier","Leon van Meijel, 'De weelde van de soberheid', Nijmegen 2004","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=110"
"Twee knielende figuren","1953","Jo Uiterwaal","Stationsplein",51.8422557,5.85251740,"Na de Tweede Wereldoorlog vervaardigt de beeldhouwer Jo Uiterwaal  een reeks beelden en reliëfs voor de nieuwbouw van het station. De twee geknielde figuren op de hoek beelden de water-en bosrijke omgeving van Nijmegen uit.","particulier","Leon van Meijel, 'De weelde van de soberheid', Nijmegen 2004","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=111"
"Ruiterbeeld","1953","Jo Uiterwaal","Stationsplein",51.8421417,5.85313096,"Na de Tweede Wereldoorlog vervaardigt de beeldhouwer Jo Uiterwaal  een reeks beelden en reliëfs voor de nieuwbouw van het station. 
Het verheven ruiterstandbeeld en de massieve toren bakenen het stationsplein af. Zij vormen de afsluiting van de lange wand, waarachter het goederenemplacement en de perrons liggen.","particulier","Leon van Meijel, 'De weelde van de soberheid', Nijmegen 2004","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=112"
"Zes reliëfs","1953","Jac Maris","Burchtstraat 3",51.847172,5.866058,"Deze 6 reliëfs van Jac Maris in het monumentale winkelpand zijn een goed voorbeeld van kunst die is geïntegreerd in de architectuur.  Dit is één van de kenmerken van kunst uit de wederopbouwperiode.","particulier","www.marishuis.nl","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=113"
"Twee reliëfs","1953","Jo Uiterwaal","Stationsplein",51.8429103,5.85306436,"Na de Tweede Wereldoorlog vervaardigt de beeldhouwer Jo Uiterwaal  een reeks beelden en reliëfs voor de nieuwbouw van het station. Deze twee reliëfs maken daarvan deel uit.","particulier","Leon van Meijel, 'De weelde van de soberheid', Nijmegen 2004","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=115"
"Gevelplastiek (Amerikaanse parachutist)","1954","Charles Hammes","Nijmeegsebaan 53",51.8123187,5.88634469,"Deze gevelplastiek verwijst naar het moment, dat op 17 september de parachutisten van het 508ste Para Infanterie Regiment de Heilig Landstichting onder controle kregen. Hotel Sionshof werd daarna een verzamelpunt voor militairen en oorlogsverslaggevers. De Nederlandse verbindingsofficier Bestebreurtje legde hier contact tussen geallieerden en binnenlandse strijdkrachten.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=116"
"Verzetsmonument","1954","Marius van Beek","Keizer Traianusplein",51.8455700,5.87323189,"Na de oorlog werd door de Nijmeegse burgerij geld ingezameld om een monument op te richten voor de verzetstrijder Jan van Hoof en alle Nijmeegse verzetsstrijders. Twee herinneringsstenen werden al eerder (1945) geplaatst: één op de plek waar hij stierf (Joris Ivensplein), de ander bij de Waalbrug.

Jan van Hoof, student en lid van de geheime Dienst Nederland, verzamelde maandenlang informatie over de Waalbruggen en daar aangebrachte explosieven.  Op 18 september 1944, toen de geallieerden zich voorbereidden op de verovering van beide bruggen, wist van Hoof de explosieven, die onder de Waalbrug bevestigd waren, onschadelijk te maken. 
De aanslag werd echter ontdekt door de Duitsers; uiteindelijk zijn zij niet tot vernieling van de brug overgegaan.
Van Hoof zelf stierf een dag later na mishandeling tijdens een gevecht op de hoek van de Lange Hezelstraat en de Nieuwe Markt.

Omdat er twijfel was over de rol van Jan van Hoof  heeft een commissie van het Ministerie van Oorlog in 1949 een onderzoek ingesteld naar het vraagstuk van de redding van de Waalbrug bij Nijmegen. De belangrijkste conclusie uit het rapport luidde dat Jan van Hoof feitelijk niet kan worden beschouwd als 'de Redder' van de brug. 'Wel komt hem onvergankelijke eer toe voor hetgeen hij tot behoud van de brug als uitstekende daad van moed, beleid en trouw heeft verricht met inzet van zijn leven'.

Het bronzen beeld van Marius van Beek stelt een verzetsstrijder voor, die met een gescheurde Nederlandse vlag in de hand wegrent en nog omkijkt naar de Waalbrug. Het beeld is geplaatst voorbij de Waalbrug richting stad. De tekst op het monument luidt: 
'IN DIT MONUMENT EREN WIJ ALLEN DIE MET JAN VAN HOOF IN HET VERZET VIELEN VOOR DE BEVRIJDING VAN NIJMEGEN 1940-1945'.
Elk jaar op 4 mei, worden op het Keizer Traianusplein, bij de voet van het beeld, de slachtoffers van de oorlog herdacht.

In februari 1954 werd Marius van Beek benaderd door de gemeente Nijmegen om een monument te vervaardigen.  Mari Andriessen, aanvankelijk voor deze opdracht gevraagd, adviseerde om met deze jonge collega in zee te gaan. Marius van Beek was blij met de opdracht: hij had zelf ook in het Nijmeegs verzet gezeten en kende Jan van Hoof persoonlijk. 
Er was echter te weinig tijd om het ontwerp en de uitvoering gereed te hebben. Op de dag van de herdenking zelf, 17 september 1954, werd een met bronsverf beschilderd gipsen beeld onthuld door minister Beel. Later werd dit door het bronzen exemplaar vervangen.","gemeente Nijmegen","www.mariusvanbeek.nl","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=118"
"Twee spaarvarkens","1954","Charles Hammes","Mariënburgsestraat",51.8452700,5.86768048,"Aan het begin van het steegje achter het gebouw, dat oorspronkelijk van De Nederlandsche Bank was, staan op pilaren twee spaarvarkentjes. Het varkentje links met een muntstuk kijkt lachend, het andere zonder muntstuk kijkt een beetje sip. Ze vormen een humoristische verwijzing naar de voormalige functie van het gebouw. Zowel de varkens als hun voetstukken zijn vervaardigd uit kalksteen. De pilaren zijn gemetseld in baksteen. De naam van het steegje luidt 'De Spaarpot'...

In mei 1954 werd het gebouw van de Nederlandsche Bank, hét zakencentrum van de gemoderniseerde binnenstad, officieel geopend. Vanuit dit agentschap zou de gelddistributie voor alle commerciële banken in de regio verzorgd worden. De architect was prof. ir. H.T. Zwiers, die ook hoogleraar bouwkunst was aan de Technische Hogeschool Delft. Bij de bouw betrok hij de kunstenaar Charles Hammes voor de beelden. Deze ontwierp ook het koperen plastiek boven de hoofdingang. De bewerking van de hoofdingang verbeeldt de geldcirculatie over de wereld. Een serieus thema. De twee varkentjes aan de achterzijde zijn echter een knipoog naar deze ernstige zaak, waamee Hammes de waarde van het geld heeft willen relativeren.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=119"
"Het Geldverkeer","1954","Charles Hammes","Klein Mariënburg",51.8449989,5.86759207,"In mei 1954 werd het gebouw van de Nederlandsche Bank, hét zakencentrum van de gemoderniseerde binnenstad, officieel geopend. Vanuit dit agentschap zou de gelddistributie voor alle commerciële banken in de regio verzorgd worden. De architect was prof. ir. H.T. Zwiers, die ook hoogleraar bouwkunst was aan de Technische Hogeschool Delft. Bij de bouw betrok hij de kunstenaar Charles Hammes voor de beelden. Deze ontwierp het koperen plastiek boven de hoofdingang. De bewerking van de hoofdingang verbeeldt de geldcirculatie over de wereld. Een serieus thema. 
Dezelfde kunstenaar maakte aan de achterzijde van het pand twee varkentjes. Zij zijn juist een knipoog naar deze ernstige zaak, waamee Hammes de waarde van het geld heeft willen relativeren.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=120"
"Plaquette","1955","Charles Hammes","Groenestraat 336/310",51.8320502,5.84337064,"Deze plaquette maakt melding van het afscheid van prof. dr. H.G. Nolen, Ir. A.S. Bergsma en Ir. Th. Rosskopf.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=122"
"Reliëf","1955","Charles Hammes","Stationsplein",51.8429359,5.85298716,"Met dit reliëf wordt het herstel en de vernieuwing van het Nijmeegs station gememoreerd.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=123"
"Goffertbank","1955","G.J. Loogman","Goffertpark",51.8273392,5.83132598,"De zogenaamde panoramabank staat op een verhoogd uitzichtpunt met een vergezicht over de speelwei. Mogelijk vervangt de bank een ouder exemplaar. De bank is een schenking van de Verfraaiings-Vereniging Nijmegen en Omstreken ter gelegenheid van haar 75-jarig bestaan.
De in 1953 geplaatste bank is een monumentaal object van blauwe sintersteen. Blikvanger is een sierbetonnen gedenksteen waarop het stadswapen van Nijmegen is afgebeeld en verder de jaartallen 1878 - 1953 en de naam van de schenker. Voor de bank ligt een twee treden hoog bordes dat is geplaveid met natuurstenen, zoals gebruikelijk in de jaren 50 en 60 van de 20ste eeuw.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=124"
"Clown","1956","Ad Berntsen","Balistraat/Javastraat",51.834894,5.861927,"De clown kijkt droevig. Dit is door de kunstenaar op een gedetailleerde manier weergegeven in fijne lijnen. Zijn kostuum en puntmuts hebben een detaillering van strepen en ruiten.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=126"
"Keizer Traianus","1956","Ed van Teeseling","Keizer Traianusplein",51.8450009,5.8737163,"Dit beeld is aan de gemeente Nijmegen aangeboden door de Vereniging tot Verfraaiing van Nijmegen en Omstreken. De kunstenaars Ed van Teeseling en Charles Hammes kregen de opdracht een beeld van Keizer Traianus te vervaardigen. Zij kozen ervoor de keizer in voortschrijdende (dynamische) houding weer te geven. Dat is bijzonder omdat in die tijd vaak gekozen werd voor een zittende, zegenende of staande (statische) houding. Vergelijk bijvoorbeeld de Nijmeegse beelden van Thomas van Aquino, Bisschop Hamer en Petrus Canisius. Het beeld straalt kracht uit door de brede lichaamsbouw en de gelaatstrekken van de keizer. De keizer is gekleed als ware hij een Romein: hij draagt een lijfrok met daarboven een harnas. De monumentaliteit van het beeld wordt nog eens vergroot door de vier meter hoge sokkel waarop het beeld is geplaatst. De keizer kijkt als het ware over de stad. Keizer Traianus heeft in 105 Nijmegen marktrecht geschonken. Hij houdt in zijn linkerhand de rol perkament vast, waarop dit recht staat beschreven. 
Op de sokkel staat de naam van de opdrachtgever, het wapen van de stad Nijmegen en de tekst ‘Marco Ulpio Traiano Ulpia Noviomagus’: aan Marcus Ulpius Traianus, van de stad Ulpius Noviomagus.

Het standbeeld van keizer Traianus werd in 1955 in gips gemaakt, toen Nijmegen haar eeuwfeest (Nijmegen 1850 jaar stad) vierde. Het werd geplaatst op het toenmalige Keizer Lodewijkplein. Later heeft de Vereniging tot Verfraaiing van Nijmegen en Omstreken het beeld in brons laten gieten; uiteindelijk heeft het beeld in 1956 een definitieve plaats gekregen. Bij die gelegenheid werd het plein omgedoopt in Keizer Traianusplein.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=127"
"Keizer Traianus","1956","Charles Hammes","Keizer Traianusplein",51.8450009,5.8737163,"Dit beeld is aan de gemeente Nijmegen aangeboden door de Vereniging tot Verfraaiing van Nijmegen en Omstreken. De kunstenaars Ed van Teeseling en Charles Hammes kregen de opdracht een beeld van Keizer Traianus te vervaardigen. Zij kozen ervoor de keizer in voortschrijdende (dynamische) houding weer te geven. Dat is bijzonder omdat in die tijd vaak gekozen werd voor een zittende, zegenende of staande (statische) houding. Vergelijk bijvoorbeeld de Nijmeegse beelden van Thomas van Aquino, Bisschop Hamer en Petrus Canisius. Het beeld straalt kracht uit door de brede lichaamsbouw en de gelaatstrekken van de keizer. De keizer is gekleed als ware hij een Romein: hij draagt een lijfrok met daarboven een harnas. De monumentaliteit van het beeld wordt nog eens vergroot door de vier meter hoge sokkel waarop het beeld is geplaatst. De keizer kijkt als het ware over de stad. Keizer Traianus heeft in 105 Nijmegen marktrecht geschonken. Hij houdt in zijn linkerhand de rol perkament vast, waarop dit recht staat beschreven. 
Op de sokkel staat de naam van de opdrachtgever, het wapen van de stad Nijmegen en de tekst ‘Marco Ulpio Traiano Ulpia Noviomagus’: aan Marcus Ulpius Traianus, van de stad Ulpius Noviomagus.

Het standbeeld van keizer Traianus werd in 1955 in gips gemaakt, toen Nijmegen haar eeuwfeest (Nijmegen 1850 jaar stad) vierde. Het werd geplaatst op het toenmalige Keizer Lodewijkplein. Later heeft de Vereniging tot Verfraaiing van Nijmegen en Omstreken het beeld in brons laten gieten; uiteindelijk heeft het beeld in 1956 een definitieve plaats gekregen. Bij die gelegenheid werd het plein omgedoopt in Keizer Traianusplein.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=127"
"Mariken van Nieumeghen","1957","Vera Tummers-van Hasselt","Grote Markt",51.8476591,5.86350779,"Mariken van Nieumeghen is de hoofdpersoon uit een zestiende eeuws mirakelspel, waarschijnlijk geschreven tussen 1485 en 1510. Het vertelt de geschiedenis van Mariken die, na door de duivel ( Moenen) te zijn verleid,  jarenlang een losbandig leven leidt in Antwerpen. Terug in Nijmegen ziet zij een wagenspel, waarin wordt duidelijk gemaakt dat iedereen vergeving van God kan krijgen voor zijn of haar zonden. Het bronzen beeld laat juist dit moment van inkeer zien. Op de hoge hardstenen sokkel staan twee regels uit het verhaal: 'Comt nu tot mi ende helpt mi beclaghen, God of die duuel, tes mi alleleens.'
Deze hebben betrekking op het moment dat de duivel deze noodkreet hoort en Mariken voor zich weet te winnen.

Lange tijd stond het beeld van Mariken aan de noordzijde van de Grote Markt. Na een reconstructie van het plein in het voorjaar van 2001 is het beeld verplaatst naar de locatie vlak voor de kerkboog.

Het beeld is aan de stad geschonken door Vroom en Dreesman N.V. te Nijmegen. Het bedrijf wilde op deze wijze haar dank betuigen aan de gemeente 'voor de zorg en de ontzaglijke moeite die men zich getroostte voor de wederopbouw van de gehavende stad en speciaal voor de objectiviteit en het vele werk dat men over heeft gehad voor het herstel van ons bedrijf'. 

Men gaf Vera van Hasselt, die gehuwd is met beeldend kunstenaar Nicolaas Tummers, de opdracht om dit beeld te vervaardigen. Zij maakte  al eens een klein beeldje van Mariken in 1953, naar aanleiding van het feit dat het oude wagenspel weer was opgevoerd op de Grote Markt. Zij vroeg zich af waarom een beeld van Mariken op het plein ontbrak. 'Groningen heeft immers zijn Peerd van Ome Loeks en Den Bosch heeft zijn Zoete Lieve Gerritje.' 

Onder de kerkboog richting Stevenskerk is een bord geplaatst met informatie over de Middeleeuwse romanfiguren Mariken en Moenen.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=130"
"Kruisbeeld","1957","Peter Roovers","Groesbeekseweg/Bosweg",51.8243389,5.87970359,"Geen omschrijving.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=131"
"Meisje met schooltas","1959","Ed van Teeseling","Archipelstraat/Atjehstraat/Delistraat",51.8344429,5.86580803,"Eind jaren vijftig maakt de kunstenaar Ed van Teeseling het bronzen beeld van een meisje dat een schooltas vasthoudt op haar rug. De kleuter kijkt een beetje dromerig de verte in. Ze draagt een kort jurkje en heeft haar haren in een staartje.

Het beeld is voor het plantsoen gemaakt in opdracht van de gemeente. Het schoolkind paste goed bij het nabijgelegen schoolgebouw. Veertien jaar later zal Van Teeseling nog een beeld maken bij een schoolgebouw: het zittende kind met hoog opgetrokken knieën aan de Heyendaalseweg. In deze twee beelden is de abstractie zichtbaar, die zich vanaf die tijd in het werk van deze kunstenaar voordoet.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=133"
"De zeven dagen van de week","1957","Hugo Brouwer","Goffertweg 20",51.8287233,5.83946257,"De voormalige LTS Dr. Poelsschool is een ontwerp van het architectenbureau Deur en Pouderoyen. Het is een waardevol gebouw uit de wederopbouwperiode 1945-1975.
Het mozaïek is ontworpen rondom de ingang van de school. De kunst is als het ware geïntegreerd in het gebouw. Dit is een van de kenmerken van de na-oorlogse kunst, ook wel wederopbouwkunst genoemd.
Het mozaïek verwijst naar het technisch onderwijs. In het midden wordt met hamer en aambeeld gewerkt. Verder worden meubels, huizenbouw, electriciteit en tuingereedschap uitgebeeld. Vijf dagen werk en twee dagen rust maken samen zeven dagen. Dit is de titel die de kunstenaars bedachten voor dit werk.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=134"
"De zeven dagen van de week","1957","Lambert Simon","Goffertweg 20",51.8287233,5.83946257,"De voormalige LTS Dr. Poelsschool is een ontwerp van het architectenbureau Deur en Pouderoyen. Het is een waardevol gebouw uit de wederopbouwperiode 1945-1975.
Het mozaïek is ontworpen rondom de ingang van de school. De kunst is als het ware geïntegreerd in het gebouw. Dit is een van de kenmerken van de na-oorlogse kunst, ook wel wederopbouwkunst genoemd.
Het mozaïek verwijst naar het technisch onderwijs. In het midden wordt met hamer en aambeeld gewerkt. Verder worden meubels, huizenbouw, electriciteit en tuingereedschap uitgebeeld. Vijf dagen werk en twee dagen rust maken samen zeven dagen. Dit is de titel die de kunstenaars bedachten voor dit werk.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=134"
"Reliëf","1958","Jac Maris","Sint Jorisstraat 72",51.845182,5.872237,"Geen omschrijving.","particulier","www.marishuis.nl","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=141"
"Geveldecoratie","1958","Jac Maris","Dominicanenstraat 91",51.8412196,5.87370202,"Geen omschrijving.","particulier","www.marishuis.nl","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=142"
